Full_Name,Age,Gender,CNIC,Contact,Father_Name,Permanent_Address,Local_Address,Province
Bilal Khan,50,M,08681-6194585-8,0325-6789012,Basit Khan,p1-Add,l1-Add,Punjab
Maha Ali,34,F,85000-7971439-1,0326-7890123,Danish Ali,p2-Add,l2-Add,Punjab
Waqar Ali,21,M,48004-7460006-6,0327-8901234,Ehsan Ahmed,p3-Add,l3-Add,Punjab
Ayesha Khalid,36,F,87392-1013158-5,0328-9012345,Farhan Malik,p4-Add,l4-Add,Punjab
Ahmed Hassan,41,M,45190-2652702-7,0329-0123456,Ghazanfar Ali,p5-Add,l5-Add,Punjab
Zoya Malik,30,F,71216-3506961-4,0330-1234567,Hamza Khan,p6-Add,l6-Add,Punjab
Omar Farooq,45,M,07548-1528037-7,0331-2345678,Irfan Ali,p7-Add,l7-Add,Punjab
Maryam Asif,18,F,44702-5319205-5,0332-3456789,Javed Iqbal,p8-Add,l8-Add,Sindh
Usman Ali,26,M,43149-3303504-3,0333-4567890,Kashif Ali,p9-Add,l9-Add,Sindh
Rukhsar Bibi,58,F,11748-8477808-2,0334-5678901,Luqman Khan,p10-Add,l10-Add,Sindh
Nabeel Khan,51,M,98590-5688513-9,0335-6789012,Mohsin Ali,p11-Add,l11-Add,Sindh
Sanaullah Khan,47,M,11016-3236873-0,0336-7890123,Nadeem Ahmed,p12-Add,l12-Add,Sindh
Tasnim Ali,25,F,66020-1962335-7,0337-8901234,Owais Khan,p13-Add,l13-Add,Sindh
Sufyan Ali,53,M,84367-8177738-4,0338-9012345,Qaisar Ali,p14-Add,l14-Add,KPK
Sadia Ashraf,40,F,87784-9502627-4,0339-0123456,Raheel Khan,p15-Add,l15-Add,KPK
Sohail Raza,44,M,54074-1975073-2,0340-1234567,Salman Hussain,p16-Add,l16-Add,KPK
Anum Ali,21,F,99264-8820363-4,0341-2345678,Tahir Ali,p17-Add,l17-Add,KPK
Qasim Ali,37,M,74267-7001613-0,0342-3456789,Umer Shah,p18-Add,l18-Add,KPK
Hina Ali,32,F,26766-5629247-5,0343-4567890,Vicky Ali,p19-Add,l19-Add,KPK
Haris Ahmed,30,M,00911-4680350-2,0344-5678901,Waqas Ali,p20-Add,l20-Add,Balochistan
Shazia Hassan,42,F,95363-6701830-1,0345-6789012,Xubair Khan,p21-Add,l21-Add,Balochistan
Saad Raza,48,M,12213-5718928-6,0346-7890123,Yasir Ahmed,p22-Add,l22-Add,Balochistan
Ayesha Naeem,23,F,38708-8321853-8,0347-8901234,Zahid Ali,p23-Add,l23-Add,Balochistan
Farhan Ali,56,M,33451-0921622-6,0348-9012345,Ali Raza,p24-Add,l24-Add,Balochistan
Saima Ali,26,F,61080-1753354-9,0349-0123456,Babar Khan,p25-Add,l25-Add,Balochistan
Imran Khan,70,M,35202-8940855-0,0323-5760200,Ikramullah Khan,p26-Add,l26-Add,KPK
Shahbaz Sharif,71,M,35202-8940855-1,0323-5760201,Muhammad Sharif,p27-Add,l27-Add,Punjab
