CNIC,NA,PA
91661-5856424-9,NA-1,PP-1
20432-7898875-3,NA-1,PP-1
52054-4934571-0,NA-1,PP-1
75187-9686504-4,NA-1,PP-1
23058-0853315-3,NA-1,PP-1
94270-3698369-5,NA-1,PP-2
02358-0795946-3,NA-1,PP-2
89007-4155314-4,NA-1,PP-2
13455-6132989-6,NA-1,PP-2
57899-8953180-1,NA-1,PP-2
86352-6954872-4,NA-2,PS-1
26108-0978997-5,NA-2,PS-1
31002-0286283-2,NA-2,PS-1
12966-5046393-6,NA-2,PS-1
09873-9482546-9,NA-2,PS-1
20354-3999622-5,NA-2,PS-2
10963-5540940-1,NA-2,PS-2
00344-0872804-0,NA-2,PS-2
51488-7885357-6,NA-2,PS-2
39295-8830137-7,NA-2,PS-2
68393-1058733-0,NA-3,PK-1
60803-5201855-2,NA-3,PK-1
27679-1653865-0,NA-3,PK-1
38967-1186868-7,NA-3,PK-1
05113-2011715-3,NA-3,PK-1
08681-6194585-8,NA-3,PK-2
85000-7971439-1,NA-3,PK-2
48004-7460006-6,NA-3,PK-2
87392-1013158-5,NA-3,PK-2
45190-2652702-7,NA-3,PK-2
71216-3506961-4,NA-3,PB-2
07548-1528037-7,NA-4,PB-1
44702-5319205-5,NA-4,PB-1
43149-3303504-3,NA-4,PB-1
11748-8477808-2,NA-4,PB-1
98590-5688513-9,NA-4,PB-1
11016-3236873-0,NA-4,PB-2
66020-1962335-7,NA-4,PB-2
84367-8177738-4,NA-4,PB-2
87784-9502627-4,NA-4,PB-2
54074-1975073-2,NA-4,PB-2
99264-8820363-4,NA-1,PP-1
74267-7001613-0,NA-1,PP-1
26766-5629247-5,NA-1,PP-1
00911-4680350-2,NA-1,PP-1
95363-6701830-1,NA-1,PP-2
12213-5718928-6,NA-1,PP-2
38708-8321853-8,NA-1,PP-2
33451-0921622-6,NA-1,PP-2
61080-1753354-9,NA-1,PP-2
35202-8940855-0,NA-3,PK-1
35202-8940855-1,NA-1,PP-1
