Full Name,Age,Gender,CNIC,Contact,Father Name
Ali Khan,35,M,91661-5856424-9,0300-1234567,Abdullah Hassan
Fatima Zehra,24,F,20432-7898875-3,0301-2345678,Asadullah Khan
Ahmed Raza,42,M,52054-4934571-0,0302-3456789,Bilal Ahmed
Zainab Batool,28,F,75187-9686504-4,0303-4567890,Danish Khan
Hassan Ali,23,M,23058-0853315-3,0304-5678901,Fahad Ali
Mehwish Naz,46,F,94270-3698369-5,0305-6789012,Ghulam Abbas
Sara Ahmed,29,F,02358-0795946-3,0306-7890123,Hammad Ali
Uzair Hussain,57,M,89007-4155314-4,0307-8901234,Imran Khan
Amina Bibi,33,F,13455-6132989-6,0308-9012345,Jawad Ahmed
Asadullah Khan,49,M,57899-8953180-1,0309-0123456,Khalid Mehmood
Sadia Ali,20,F,86352-6954872-4,0310-1234567,Luqman Ali
Abdul Rahman,60,M,26108-0978997-5,0311-2345678,Murtaza Hussain
Faryal Khan,39,F,31002-0286283-2,0312-3456789,Naeem Akhtar
Junaid Ahmed,43,M,12966-5046393-6,0313-4567890,Omer Farooq
Zahra Hassan,19,F,09873-9482546-9,0314-5678901,Qasim Ali
Talha Khan,29,M,20354-3999622-5,0315-6789012,Raza Ali
Nimra Iqbal,22,F,10963-5540940-1,0316-7890123,Saad Khan
Nouman Ali,38,M,00344-0872804-0,0317-8901234,Tariq Mahmood
Rabia Aslam,55,F,51488-7885357-6,0318-9012345,Usama Ali
Umair Abbas,52,M,39295-8830137-7,0319-0123456,Veer Abbas
Aisha Riaz,31,F,68393-1058733-0,0320-1234567,Waleed Ahmed
Kamran Akhtar,25,M,60803-5201855-2,0321-2345678,Xaheer Khan
Maria Noor,47,F,27679-1653865-0,0322-3456789,Yahya Hussain
Salman Ahmed,31,M,38967-1186868-7,0323-4567890,Zafar Iqbal
Khadija Malik,27,F,05113-2011715-3,0324-5678901,Ahmed Shah
Bilal Khan,50,M,08681-6194585-8,0325-6789012,Basit Khan
Maha Ali,34,F,85000-7971439-1,0326-7890123,Danish Ali
Waqar Ali,21,M,48004-7460006-6,0327-8901234,Ehsan Ahmed
Ayesha Khalid,36,F,87392-1013158-5,0328-9012345,Farhan Malik
Ahmed Hassan,41,M,45190-2652702-7,0329-0123456,Ghazanfar Ali
Zoya Malik,30,F,71216-3506961-4,0330-1234567,Hamza Khan
Omar Farooq,45,M,07548-1528037-7,0331-2345678,Irfan Ali
Maryam Asif,18,F,44702-5319205-5,0332-3456789,Javed Iqbal
Usman Ali,26,M,43149-3303504-3,0333-4567890,Kashif Ali
Rukhsar Bibi,58,F,11748-8477808-2,0334-5678901,Luqman Khan
Nabeel Khan,51,M,98590-5688513-9,0335-6789012,Mohsin Ali
Sanaullah Khan,47,M,11016-3236873-0,0336-7890123,Nadeem Ahmed
Tasnim Ali,25,F,66020-1962335-7,0337-8901234,Owais Khan
Sufyan Ali,53,M,84367-8177738-4,0338-9012345,Qaisar Ali
Sadia Ashraf,40,F,87784-9502627-4,0339-0123456,Raheel Khan
Sohail Raza,44,M,54074-1975073-2,0340-1234567,Salman Hussain
Anum Ali,21,F,99264-8820363-4,0341-2345678,Tahir Ali
Qasim Ali,37,M,74267-7001613-0,0342-3456789,Umer Shah
Hina Ali,32,F,26766-5629247-5,0343-4567890,Vicky Ali
Haris Ahmed,30,M,00911-4680350-2,0344-5678901,Waqas Ali
Shazia Hassan,42,F,95363-6701830-1,0345-6789012,Xubair Khan
Saad Raza,48,M,12213-5718928-6,0346-7890123,Yasir Ahmed
Ayesha Naeem,23,F,38708-8321853-8,0347-8901234,Zahid Ali
Farhan Ali,56,M,33451-0921622-6,0348-9012345,Ali Raza
Saima Ali,26,F,61080-1753354-9,0349-0123456,Babar Khan
